Name,Cost_per_100g,Country,Manufacturer,Organic,Bean,Fairtrade Mark,Rank,Link
Ocado Gold,1.5,,Ocado,0,,0,38,N/A
Kenco Millicano,4.99,,Douwe Egberts,0,,0,38,https://www.waitrose.com/ecom/products/kenco-millicano-americano-original/431734-118820-118821
Percol Americano,3.85,,Percol,0,Arabica,0,8,https://www.percol.co.uk/instant-coffee/
Douwe Egberts Indulgence,3.06,,Douwe Egberts,0,,0,38,https://www.douwe-egberts.co.uk/products/pure-range/pure-indulgence/
Waitrose Essentials,1.5,,Waitrose,0,,1,16,https://www.waitrose.com/ecom/products/essential-waitrose-rich-roast-coffee/016752-8059-8060
Cafe Direct Smooth,2.99,,Cafe Direct,0,,1,38,https://www.waitrose.com/ecom/products/cafedirect-fairtrade-medium-roast-coffee/016710-8039-8040
Littles Ethiopian,4.99,Ethiopia,Littles,0,Arabica,0,16,https://www.wearelittles.com/product/african-premium-instant-coffee/
Cafepod Intense,3.86,India-Vietnam,Cafepod,0,Arabica,0,38,https://www.cafepod.com/products/intense-wholebean-instant-coffee
Littles Colombia,4.99,Colombia,Littles,0,Arabica,0,1,https://www.wearelittles.com/product/colombian-premium-instant-coffee/
Waitrose Ft Italian,3.2,,Waitrose,0,,1,38,https://www.waitrose.com/ecom/products/waitrose-italian-roast-freeze-dried-coffee/430914-156161-156162
Nescafe Alta Rica,4.49,,Nescafe,0,Arabica,0,38,https://www.nescafe.com/gb/our-coffees/gold/nescafe-gold-origins-alta-rica
Percol Barista Gold,4.19,,Percol,0,Arabica,1,4,https://www.percol.co.uk/instant-coffee/
Kenco Smooth,3.28,,Douwe Egberts,0,,0,38,https://www.waitrose.com/ecom/products/kenco-smooth/016817-8103-8104
Clipper Organic Medium,4,,Clipper,1,Arabica,1,16,https://shop.clipper-teas.com/collections/coffee/products/clipper-ft-org-medium-roast-ins-coffee-200-g
Nescafe Organic,4.74,,Nescafe,1,Arabica,0,38,https://www.nescafe.com/gb/our-coffees/gold/nescafe-gold-organic
Nescafe Colombia,4.49,Colombia,Nescafe,0,Arabica,0,16,https://www.nescafe.com/gb/our-coffees/gold/nescafe-gold-origins-cap-colombia
Waitrose Colombia,3.85,Colombia,Waitrose,0,Arabica,1,38,https://www.waitrose.com/ecom/products/waitrose-fairtrade-colombian-instant-microground-coffee/403804-313725-313726
Carte Noire Intense,2.5,,Douwe Egberts,0,Mix,0,8,https://www.cartenoire.co.uk/en/shop/instant/intense-100g.html
Kenco Rich,3.15,,Douwe Egberts,0,,0,38,https://www.waitrose.com/ecom/products/kenco-rich/016849-8129-8130
Nescafe Original,2.85,,Nescafe,0,Mix,0,16,https://www.nescafe.com/gb/our-coffees/original/nescafe-original
Percol Organic Rich,4,,Percol,1,Arabica,1,38,https://www.percol.co.uk/instant-coffee/
Lavazza Classico,4.95,,Lavazza,0,Arabica,0,38,https://www.lavazza.co.uk/en/coffee/instant/prontissimo-classico.html
Douwe Egberts Gold,2.23,,Douwe Egberts,0,,0,38,https://www.douwe-egberts.co.uk/products/pure-range/pure-gold/
Illy Smooth,4.74,,Illy,0,Arabica,0,4,https://www.waitrose.com/ecom/products/illy-100-arabica-instant-coffee/532450-405316-405317
Lore Classique,4.99,,Douwe Egberts,0,,0,38,https://www.tesco.com/groceries/en-GB/products/299538586
Cafe Direct Machu Picchu,2.99,Peru,Cafe Direct,0,Arabica,1,8,https://www.waitrose.com/ecom/products/cafedirect-fairtrade-machu-picchu-instant-coffee/023841-11572-11573
Lavazza Intenso,4.95,,Lavazza,0,Arabica,0,38,https://www.lavazza.co.uk/en/coffee/instant/prontissimo-intenso.html
Cafepod supercharger,3.86,,Cafepod,0,Mix,0,16,https://www.cafepod.com/products/supercharger-wholebean-instant-coffee?_pos=3&_sid=3e078159d&_ss=r
Nescafe Gold Smooth,4.25,,Nescafe,0,Mix,0,38,https://www.nescafe.com/gb/our-coffees/gold/nescafe-gold-smooth
Percol Italiano,4,,Percol,0,Arabica,0,16,https://www.percol.co.uk/instant-coffee/
Azera Americano,3,,Nescafe,0,,0,38,https://www.nescafe.com/gb/our-coffees/azera/nescafe-azera-americano
Clipper Papua New Guinea,4.79,Papua New Guinea,Clipper,1,Arabica,1,38,https://shop.clipper-teas.com/collections/coffee/products/clipper-org-ft-papua-new-guinea-rich-100-g
Illy Intense Taste,4.74,,Illy,0,Arabica,0,8,https://www.illy.com/en-gb/shop/coffee/iperespresso-coffee-capsules/intense-roast-iperespresso-coffee-capsules/8844.html?cgid=uk-57512
Azera Intenso,3,,Nescafe,0,Mix,0,38,https://www.nescafe.com/gb/our-coffees/azera/nescafe-azera-intenso
Percol Espresso Noir,3.7,,Percol,0,Robusta,0,38,https://www.percol.co.uk/instant-coffee/
Percol Colombia,3.7,Colombia,Percol,0,Arabica,1,2,https://www.percol.co.uk/instant-coffee/
Carte Noire Classique,2.5,,Douwe Egberts,0,,0,16,https://www.cartenoire.co.uk/en/shop/instant/carte-noire-classique-200g.html
Lavazza Espresso,4.95,Brazil,Lavazza,0,Mix,0,38,https://www.lavazza.co.uk/en/coffee/instant/prontissimo-espresso.html
